39,12,15,39,37,42,41,37,38,43,43,44,48,28,21,28,33,17,23,18,15,24,16,22,24,17,19,19,24,25,9,1000,10,14,15,7,6,15,7,8,11
29,14,11,37,36,36,35,30,30,45,32,38,36,15,20,9,31,16,23,18,14,22,17,11,25,17,19,8,26,27,12,10,1000,4,10,16,9,5,10,7,14
29,15,15,37,36,36,38,33,33,45,35,41,39,16,21,13,31,19,25,20,16,25,20,14,27,19,22,11,27,27,16,14,4,1000,11,17,10,8,11,8,15
36,10,16,37,34,39,37,34,35,39,39,39,43,9,14,14,24,13,19,14,11,20,12,18,21,11,14,15,20,21,17,15,10,11,1000,16,14,8,15,12,10
39,7,22,34,31,37,35,30,33,36,39,38,43,22,16,31,26,12,18,13,22,19,12,27,19,12,14,25,19,20,11,7,16,17,16,1000,12,17,13,12,6
38,15,14,46,44,48,47,42,46,49,48,52,52,28,27,25,38,19,25,20,16,27,20,20,28,20,23,17,28,29,5,6,9,10,14,12,1000,14,3,8,14
30,13,16,36,35,36,34,28,29,41,31,36,31,28,16,6,26,15,21,16,23,22,14,12,23,14,16,8,22,23,17,15,5,8,8,17,14,1000,15,11,18
39,16,16,50,46,49,48,43,44,48,47,50,49,25,28,23,37,19,25,21,22,29,21,20,29,22,24,17,29,30,6,7,10,11,15,13,3,15,1000,7,15
35,15,12,45,44,45,46,43,42,47,43,49,47,24,26,22,36,19,26,21,21,29,22,18,28,21,23,15,28,29,10,8,7,8,12,12,8,11,7,1000,16
40,1,19,34,31,36,30,27,27,33,33,33,34,15,8,23,20,9,15,10,9,15,8,24,16,8,10,21,15,15,11,11,14,15,10,6,14,18,15,16,1000
